TF_Col,Comparator,n,rho,ci_low,ci_high,rho_ci
TF-Col total score,PedsQL physical functioning,143,-0.32922033922274574,-0.4680737169214122,-0.1745020402727998,-0.329 (-0.468 to -0.175)
TF-Col total score,PedsQL emotional functioning,143,-0.2892916099817005,-0.432883908540542,-0.1313819466333224,-0.289 (-0.433 to -0.131)
TF-Col total score,PedsQL social functioning,143,-0.23949492642667078,-0.38837539377223507,-0.07842963904361089,-0.239 (-0.388 to -0.078)
TF-Col total score,PedsQL school functioning,143,-0.18031672505525895,-0.3345626662316421,-0.016661306422166615,-0.180 (-0.335 to -0.017)
Financial Impact,PedsQL physical functioning,143,-0.3170862148913528,-0.4574261018120731,-0.16133500881535356,-0.317 (-0.457 to -0.161)
Financial Impact,PedsQL emotional functioning,143,-0.28176645661381877,-0.42620249775112634,-0.1233217058910127,-0.282 (-0.426 to -0.123)
Financial Impact,PedsQL social functioning,143,-0.26671939004691686,-0.41279512814597874,-0.10726714588502499,-0.267 (-0.413 to -0.107)
Financial Impact,PedsQL school functioning,143,-0.17622897032173268,-0.330808016262095,-0.012440266857859168,-0.176 (-0.331 to -0.012)
Psychosocial Impact,PedsQL physical functioning,143,-0.34085731701350686,-0.4782473557141668,-0.18718179893400866,-0.341 (-0.478 to -0.187)
Psychosocial Impact,PedsQL emotional functioning,143,-0.278848898786357,-0.42360781913249373,-0.12020230443469668,-0.279 (-0.424 to -0.120)
Psychosocial Impact,PedsQL social functioning,143,-0.1967288531850761,-0.34958825561469176,-0.03366749741846074,-0.197 (-0.350 to -0.034)
Psychosocial Impact,PedsQL school functioning,143,-0.17648586459353838,-0.331044120821479,-0.012705365606075063,-0.176 (-0.331 to -0.013)
